FlowStage,ErrorMessage,LikelyCause,RecommendedFix,ExampleWrongCode
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'generateVerilog'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'loadLiberty'
. Did you mean: 'readLiberty
'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'initializeLef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
TypeError: Tech.readLiberty() got an unexpected keyword argument 'verbose'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'saveDesignDef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'exportDb'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'runTclString'
. Did you mean: 'evalTclString'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'importLiberty'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'loadLef'
. Did you mean: 'readLef'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'processLef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'writeDefWithOptions'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'storeDatabase'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'exportVerilog'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'addLiberty'
. Did you mean: 'readLiberty'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
TypeError: Tech.readLiberty() got an unexpected keyword argument 'verbose'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'saveDef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'commitDb'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'executeVerilogCommand'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'loadLef'
. Did you mean: 'readLef'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_64x21.lef, created 1 library cells
[INFO ODB-0227] LEF file: ../Design/nangate45/lef/fakeram45_256x32.lef, created 1 library ce",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"[INFO ODB-0227] LEF file: ../Design/nangate45/lef/NangateOpenCellLibrary.tech.lef, created 22 layers, 27 vias



Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Tech' object has no attribute 'loadLef'
. Did you mean: 'readLef'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'storeDef'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'saveDesign'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FILE,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'executeVerilogCommand'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'createTrack",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
File ""ifp_py.py"", line 321, in initFloorplan
TypeError: Wrong number or type of arguments for overloaded function 'InitFloorplan_initFloorplan'.
  Possible C/C++ prototypes are:
    ifp::InitFloorplan::initFloorplan(double,doub",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'generateTra",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
File ""ifp_py.py"", line 321, in initFloorplan
TypeError: Wrong number or type of arguments for overloaded function 'InitFloorplan_initFloorplan'.
  Possible C/C++ prototypes are:
    ifp::InitFloorplan::initFloorplan(double,doub",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'setupTracks",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
File ""ifp_py.py"", line 321, in initFloorplan
TypeError: Wrong number or type of arguments for overloaded function 'InitFloorplan_initFloorplan'.
  Possible C/C++ prototypes are:
    ifp::InitFloorplan::initFloorplan(double,doub",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'makeTracksW",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
File ""ifp_py.py"", line 321, in initFloorplan
TypeError: Wrong number or type of arguments for overloaded function 'InitFloorplan_initFloorplan'.
  Possible C/C++ prototypes are:
    ifp::InitFloorplan::initFloorplan(double,doub",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'defineTrack",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (10.000, 10.000) snapped to (10.070, 11.200).
[INFO IFP-0001] Added 256 rows of 1897 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'estab",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"[WARNING IFP-0028] Core area lower left (5.000, 5.000) snapped to (5.130, 5.600).
[INFO IFP-0001] Added 28 rows of 262 site FreePDK45_38x28_10R_NP_162NW_34O.

Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'setupTracks",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
FLOORPLAN,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'InitFloorplan' object has no attribute 'runFloorplan'
. Did you mean: 'initFloorplan'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'addHorizontalLayer'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'printConfig'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'obtainTopLayer'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Parameters' object has no attribute 'defineMinSpacing'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'configureHorizontalLength'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'configureVerticalLength'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'addVerticalLayer'
. Did you mean: 'addVerLayer'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'printConfig'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'fetchIOPlacer'
. Did you mean: 'getIOPlacer'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Parameters' object has no attribute 'configureMinDistance'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'setHorizontalLengthWithMode'
. Did you mean: 'setHorizontalLengthExtend'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'updateVerticalLength'
. Did you mean: 'getVerticalLength'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'executeAnnealing'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'printConfig'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'fetchTopLayer'
. Did you mean: 'getTopLayer
'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'setMinDistanceInTracksWithMode'
. Did you mean: 'setMinDistanceInTracks'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Parameters.setHorizontalLength() got an unexpected keyword argument 'mode'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'adjustVerticalLength'
. Did you mean: 'getVerticalLength'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'runAnnealingWithConfig'
. Did you mean: 'setAnnealingConfig'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'printConfig'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Design' object has no attribute 'retrieveIOPlacer'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Parameters' object has no attribute 'applyMinDistance'
. Did you mean: 'getMinDistance'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'updateHorizontalLength'
. Did you mean: 'getHorizontalLength'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'applyVerticalLength'
. Did you mean: 'getVerticalLength'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: IOPlacer.runAnnealing() takes 2 positional arguments but 3 were given",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'showConfiguration'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'getUpperLayer'
. Did you mean: 'getTopLayer'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
AttributeError: 'Parameters' object has no attribute 'setMinimumSpacing'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'setHorizontalLengthExtended'
. Did you mean: 'setHorizontalLengthExtend'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Parameters.setVerticalLength() takes 2 positional arguments but 3 were given",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'startSimulatedAnnealing'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'printConfig'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'IOPlacer' object has no attribute 'retrieveTopLayerInfo'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 2, in <module>
TypeError: Parameters.setMinDistance() takes 2 positional arguments but 3 were given",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: Parameters.setHorizontalLength() got an unexpected keyword argument 'scale'",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
IO,"Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'Parameters' object has no attribute 'modifyVerticalLength'
. Did you mean: 'getVerticalLength'?",Python语法或API调用错误,检查模块初始化顺序、输入文件路径、API调用参数是否正确。可参考相应的正确脚本示例。,
